query_identity,n_query,n_hit,mean_top1_score
happywhale__84d91f8c1f99,1,0,0.8481656908988953
happywhale__86257eaa613b,1,0,0.9108822345733643
happywhale__8690c5185efc,1,0,0.909123957157135
happywhale__86c20ead4674,1,0,0.9505183696746826
happywhale__886086dd8462,1,0,0.8214839696884155
happywhale__89edacf95765,1,0,0.7823467254638672
happywhale__8b712d2a5313,1,0,0.8838065266609192
happywhale__8bc942512479,1,0,0.9400765299797058
happywhale__8beb43dfa67e,1,0,0.8863861560821533
happywhale__8ca0a04df7a1,1,0,0.9110610485076904
happywhale__8deb2171580e,1,0,0.760239839553833
happywhale__8f332df12364,1,1,0.9695395231246948
happywhale__8f76b84bec12,1,0,0.9022059440612793
happywhale__8fd41ec0db01,1,0,0.8537371754646301
happywhale__90cfd1801b72,1,0,0.9107367396354675
happywhale__90e2a0133e28,1,0,0.8945412635803223
happywhale__910b942f8c3a,1,0,0.7363152503967285
happywhale__938b7e931166,1,0,0.8529604077339172
happywhale__93fbdbf1feb6,1,0,0.8760889768600464
happywhale__956562ff2888,1,0,0.903113842010498
happywhale__9582cc692d85,1,0,0.691041111946106
happywhale__97589576e678,1,1,0.8182294368743896
happywhale__982224d06f8c,1,1,0.7764907479286194
happywhale__985e7d6a8052,1,0,0.7687693238258362
happywhale__989563596678,1,0,0.8544386625289917
happywhale__98995caaa0d3,1,0,0.862088680267334
happywhale__9a6b86f7bb3e,1,0,0.8797752261161804
happywhale__9b97e5d240c9,1,0,0.9348748922348022
happywhale__9e4564b3556f,1,0,0.8646898865699768
happywhale__9e89f8e28807,1,0,0.8911311030387878
happywhale__9f3613b5c45b,1,0,0.8785984516143799
happywhale__9f750b3dd09d,1,1,0.9288504123687744
happywhale__a0d1a0e2e606,1,0,0.8822628259658813
happywhale__a19b3b964ac1,1,0,0.901132345199585
happywhale__a22f9b1c9bc5,1,0,0.8447294235229492
happywhale__a265c977dc30,1,0,0.8663840293884277
happywhale__a275221aadd0,1,0,0.8692524433135986
happywhale__a3c2b1f0ddc4,1,0,0.9455411434173584
happywhale__a3e8d208c6a4,1,0,0.8978292346000671
happywhale__a43daee90cbc,1,0,0.9045701026916504
happywhale__a49ae5521315,1,0,0.8696591258049011
happywhale__a4ecc3308dc5,1,0,0.8415834307670593
happywhale__a52e4ad2dbb3,1,0,0.8785930871963501
happywhale__a59972315f7d,1,0,0.9373983144760132
happywhale__a6e325d8e924,1,0,0.8935552835464478
happywhale__a7310896653d,1,1,0.9227298498153687
happywhale__a752a6a6f645,1,1,0.7801703214645386
happywhale__a8040569f5e3,1,0,0.8756182193756104
happywhale__a86b9a0c8b35,1,0,0.9345170259475708
happywhale__a8a663f9f7f0,1,0,0.8838478922843933
happywhale__a8c9dfb8ac6f,1,1,0.8727811574935913
happywhale__a90eb0d80cd8,1,0,0.884613573551178
happywhale__aa17186c38fe,1,0,0.9282622337341309
happywhale__abbeba14a290,1,0,0.8761565089225769
happywhale__ac48977c0215,1,0,0.8844467401504517
happywhale__ad981a124bbd,1,0,0.9127655029296875
happywhale__ae4343270756,1,0,0.9027786254882812
happywhale__aeae6f5bf5cd,1,0,0.7518594264984131
happywhale__aff93d9d3356,1,0,0.9275330305099487
happywhale__b11b2404c7e3,1,0,0.9006914496421814
happywhale__b123e4a7c182,1,0,0.917590320110321
happywhale__b2a4a87ffb86,1,0,0.7856414318084717
happywhale__b38a72898f67,1,1,0.8916049003601074
happywhale__b54c1f8df53f,1,0,0.9374300837516785
happywhale__b61c15e89c3c,1,0,0.9358031749725342
happywhale__b701a645a567,1,0,0.8092026710510254
happywhale__b8f01df3dadd,1,0,0.8554038405418396
happywhale__b90d49ab0905,1,0,0.9415656328201294
happywhale__b91c12ffc2b0,1,0,0.8784317970275879
happywhale__b9907151f66e,1,0,0.9292922019958496
happywhale__babd014300b7,1,0,0.7035160660743713
happywhale__bb2f812de2fd,1,0,0.8609779477119446
happywhale__bc1eb2241633,1,0,0.9180002212524414
happywhale__bc48b7c97463,1,1,0.8588906526565552
happywhale__bcedd4d866c6,1,0,0.8696833252906799
happywhale__be2aa86d0e5b,1,0,0.8553622961044312
happywhale__be330f0c495c,1,0,0.8989133238792419
happywhale__be3543fc7c74,1,0,0.8713232278823853
happywhale__bf2e0d964354,1,0,0.9106256365776062
happywhale__bf412253bbc2,1,0,0.901193380355835
happywhale__bf7e1e0738f5,1,0,0.9318027496337891
happywhale__bfbe09c06683,1,0,0.8244338631629944
happywhale__c0fcaa257f91,1,0,0.8795115351676941
happywhale__c171b020c8c7,1,0,0.9270291328430176
happywhale__c2705f9e75c8,1,0,0.9524556398391724
happywhale__c27db73f0e3b,1,0,0.8980245590209961
happywhale__c4376121779e,1,0,0.8573141098022461
happywhale__c54c8b3b9cad,1,1,0.8213553428649902
happywhale__c80653b9edd0,1,1,0.9149106740951538
happywhale__c995c043c353,1,0,0.7551096677780151
happywhale__c9ab1ba25eb8,1,0,0.8797409534454346
happywhale__ca5790ec97b4,1,0,0.831260085105896
happywhale__ca886e0b34a3,1,0,0.8955199122428894
happywhale__ca88903ae96e,1,1,0.8835440874099731
happywhale__caee7717cf57,1,1,0.8486095070838928
happywhale__cb0fed574200,1,0,0.867462158203125
happywhale__cbb9151ff9aa,1,0,0.6463472843170166
happywhale__cc0e0b020a90,1,0,0.9219102263450623
happywhale__cc797677fcf4,1,0,0.7554857730865479
happywhale__cca9869bbd74,1,0,0.7981424331665039
happywhale__cccdade6dad1,1,0,0.9121431112289429
happywhale__cd720f8127f5,1,0,0.7439427375793457
happywhale__cdf6abe97eb5,1,0,0.8985353708267212
happywhale__ce6e37904aa4,1,0,0.8920518755912781
happywhale__ce873781a2c4,1,0,0.9044831991195679
happywhale__cf2824c9c7bc,1,0,0.866297721862793
happywhale__d04d847eb995,1,0,0.9312758445739746
happywhale__d05b5f372c0b,1,0,0.8367044925689697
happywhale__d15c6ea7adf0,1,0,0.9098658561706543
happywhale__d218dff09dab,1,0,0.8774803876876831
happywhale__d2eff394100e,1,0,0.8664539456367493
happywhale__d5e0b1aa6132,1,0,0.8900020122528076
happywhale__d655c1ba5181,1,0,0.8755848407745361
happywhale__d7f28b82d740,1,0,0.8673621416091919
happywhale__d939e819e989,1,0,0.9220878481864929
happywhale__d97fe0753099,1,1,0.9346922636032104
happywhale__da65f819073c,1,0,0.7657426595687866
happywhale__daa006a682c7,1,0,0.9056090116500854
happywhale__dabe818f41de,1,0,0.8903322219848633
happywhale__dba4e482f0ad,1,0,0.8699999451637268
happywhale__dbc18c7c5856,1,0,0.8838143944740295
happywhale__dd8c756c9cb7,1,1,0.9261317253112793
happywhale__de44e7d9d16e,1,0,0.8749012351036072
happywhale__de69dc1d1cad,1,0,0.877469003200531
happywhale__df109f6bede4,1,1,0.9107730984687805
happywhale__df8110697987,1,0,0.886289119720459
happywhale__e44e4b2ceed9,1,0,0.8764032125473022
happywhale__e527fa08772c,1,0,0.8930939435958862
happywhale__e53d52e33e81,1,0,0.9177608489990234
happywhale__e69d5f9f8d1e,1,0,0.8842669129371643
happywhale__e839ee7d8cf0,1,0,0.881054162979126
happywhale__e86ef4ff89c6,1,0,0.8946489691734314
happywhale__e8791b2a80da,1,0,0.8968743085861206
happywhale__e8ac23241df5,1,0,0.9328588247299194
happywhale__e9525f5abf43,1,0,0.870252251625061
happywhale__ea6eccb47a48,1,0,0.8526401519775391
happywhale__ea8160d46f8f,1,0,0.9105898141860962
happywhale__ec1469b7e368,1,0,0.9227012395858765
happywhale__ec2cb0e78ae0,1,0,0.7860888242721558
happywhale__ecd7bda11e61,1,0,0.9057053923606873
happywhale__ed207aa81bd0,1,0,0.9037526845932007
happywhale__ed3416e01fe2,1,0,0.8881273865699768
happywhale__edf59f267081,1,0,0.7741557359695435
happywhale__ee0ca4cf0faf,1,0,0.8771429657936096
happywhale__ee53c5575e67,1,0,0.8877397775650024
happywhale__ef0ddd083fbe,1,0,0.9215520620346069
happywhale__ef74a2642e89,1,1,0.9240849614143372
happywhale__efda8f368763,1,0,0.7985451221466064
happywhale__f0aa1422b26f,1,0,0.9076880812644958
happywhale__f17a28521e9d,1,0,0.6190533638000488
happywhale__f195c38bcf17,1,0,0.9118183255195618
happywhale__f1e6c5118903,1,0,0.7782650589942932
happywhale__f2c8760fbfc2,1,1,0.8967393636703491
happywhale__f3c484809ce8,1,1,0.8202782273292542
happywhale__f3d9d1f9eece,1,0,0.9088273048400879
happywhale__f3e4073c3ab0,1,1,0.8823161125183105
happywhale__f46395452c26,1,0,0.8956831693649292
happywhale__f46973e895f7,1,0,0.6562586426734924
happywhale__f46b5831d9cd,1,0,0.7360482215881348
happywhale__f4a45e49df72,1,0,0.8968449831008911
happywhale__f5187b86f2b0,1,0,0.8437016010284424
happywhale__f7bb4f9a9d1a,1,0,0.9057223796844482
happywhale__fa45ba34134c,1,0,0.9160391092300415
happywhale__fa633c922517,1,0,0.9333359599113464
happywhale__fbc05967e28f,1,0,0.8660719394683838
happywhale__fbe2b15b5481,1,0,0.9015377163887024
happywhale__fc0f7c162cc0,1,0,0.8961703181266785
happywhale__fcc7ade0c50a,1,0,0.8394578695297241
happywhale__fd92aac78676,1,0,0.8439401388168335
happywhale__fdb532d9bc78,1,1,0.9213870763778687
happywhale__fdbf93575292,1,0,0.9212218523025513
happywhale__ffbb4e585ff2,1,0,0.9545331001281738
happywhale__ffd38c0d37ad,1,0,0.8568481802940369
